image_path,focus_score
./cell_stacks/stack_001_cell_0/0.jpg,0.0
./cell_stacks/stack_001_cell_0/1.jpg,0.2
./cell_stacks/stack_001_cell_0/2.jpg,0.4
./cell_stacks/stack_001_cell_0/3.jpg,0.6
./cell_stacks/stack_001_cell_0/4.jpg,0.8
./cell_stacks/stack_001_cell_1/0.jpg,0.0
./cell_stacks/stack_001_cell_1/1.jpg,0.2
./cell_stacks/stack_001_cell_1/2.jpg,0.4
./cell_stacks/stack_001_cell_1/3.jpg,0.6
./cell_stacks/stack_001_cell_1/4.jpg,0.8
./cell_stacks/stack_001_cell_1/5.jpg,1.0
./cell_stacks/stack_001_cell_2/0.jpg,-0.2
./cell_stacks/stack_001_cell_2/1.jpg,0.0
./cell_stacks/stack_001_cell_2/2.jpg,0.2
./cell_stacks/stack_001_cell_2/3.jpg,0.4
./cell_stacks/stack_001_cell_2/4.jpg,0.6
./cell_stacks/stack_001_cell_2/5.jpg,0.8
./cell_stacks/stack_001_cell_3/0.jpg,0.0
./cell_stacks/stack_001_cell_3/1.jpg,0.2
./cell_stacks/stack_001_cell_3/2.jpg,0.4
./cell_stacks/stack_001_cell_3/3.jpg,0.6
./cell_stacks/stack_001_cell_3/4.jpg,0.8
./cell_stacks/stack_001_cell_3/5.jpg,1.0
./cell_stacks/stack_001_cell_3/6.jpg,1.2
./cell_stacks/stack_001_cell_4/0.jpg,-0.2
./cell_stacks/stack_001_cell_4/1.jpg,0.0
./cell_stacks/stack_001_cell_4/2.jpg,0.2
./cell_stacks/stack_001_cell_4/3.jpg,0.4
./cell_stacks/stack_001_cell_4/4.jpg,0.6
./cell_stacks/stack_001_cell_4/5.jpg,0.8
./cell_stacks/stack_002_cell_0/0.jpg,-0.4
./cell_stacks/stack_002_cell_0/1.jpg,-0.2
./cell_stacks/stack_002_cell_0/2.jpg,0.0
./cell_stacks/stack_002_cell_0/3.jpg,0.2
./cell_stacks/stack_002_cell_0/4.jpg,0.4
./cell_stacks/stack_002_cell_0/5.jpg,0.6
./cell_stacks/stack_002_cell_0/6.jpg,0.8
./cell_stacks/stack_002_cell_1/0.jpg,-0.2
./cell_stacks/stack_002_cell_1/1.jpg,0.0
./cell_stacks/stack_002_cell_1/2.jpg,0.2
./cell_stacks/stack_002_cell_1/3.jpg,0.4
./cell_stacks/stack_002_cell_1/4.jpg,0.6
./cell_stacks/stack_002_cell_1/5.jpg,0.8
./cell_stacks/stack_002_cell_1/6.jpg,1.0
./cell_stacks/stack_002_cell_2/0.jpg,-0.4
./cell_stacks/stack_002_cell_2/1.jpg,-0.2
./cell_stacks/stack_002_cell_2/2.jpg,0.0
./cell_stacks/stack_002_cell_2/3.jpg,0.2
./cell_stacks/stack_002_cell_2/4.jpg,0.4
./cell_stacks/stack_002_cell_2/5.jpg,0.6
./cell_stacks/stack_002_cell_2/6.jpg,0.8
./cell_stacks/stack_002_cell_3/0.jpg,-0.4
./cell_stacks/stack_002_cell_3/1.jpg,-0.2
./cell_stacks/stack_002_cell_3/2.jpg,0.0
./cell_stacks/stack_002_cell_3/3.jpg,0.2
./cell_stacks/stack_002_cell_3/4.jpg,0.4
./cell_stacks/stack_002_cell_3/5.jpg,0.6
./cell_stacks/stack_002_cell_3/6.jpg,0.8
./cell_stacks/stack_002_cell_4/0.jpg,-0.4
./cell_stacks/stack_002_cell_4/1.jpg,-0.2
./cell_stacks/stack_002_cell_4/2.jpg,0.0
./cell_stacks/stack_002_cell_4/3.jpg,0.2
./cell_stacks/stack_002_cell_4/4.jpg,0.4
./cell_stacks/stack_002_cell_4/5.jpg,0.6
./cell_stacks/stack_002_cell_4/6.jpg,0.8
./cell_stacks/stack_002_cell_5/0.jpg,-0.6
./cell_stacks/stack_002_cell_5/1.jpg,-0.4
./cell_stacks/stack_002_cell_5/2.jpg,-0.2
./cell_stacks/stack_002_cell_5/3.jpg,0.0
./cell_stacks/stack_002_cell_5/4.jpg,0.2
./cell_stacks/stack_002_cell_5/5.jpg,0.4
./cell_stacks/stack_002_cell_5/6.jpg,0.6
./cell_stacks/stack_002_cell_6/0.jpg,-0.4
./cell_stacks/stack_002_cell_6/1.jpg,-0.2
./cell_stacks/stack_002_cell_6/2.jpg,0.0
./cell_stacks/stack_002_cell_6/3.jpg,0.2
./cell_stacks/stack_002_cell_6/4.jpg,0.4
./cell_stacks/stack_002_cell_6/5.jpg,0.6
./cell_stacks/stack_003_cell_0/0.jpg,0.0
./cell_stacks/stack_003_cell_0/1.jpg,0.2
./cell_stacks/stack_003_cell_0/2.jpg,0.4
./cell_stacks/stack_003_cell_0/3.jpg,0.6
./cell_stacks/stack_003_cell_0/4.jpg,0.8
./cell_stacks/stack_003_cell_0/5.jpg,1.0
./cell_stacks/stack_003_cell_1/0.jpg,0.0
./cell_stacks/stack_003_cell_1/1.jpg,0.2
./cell_stacks/stack_003_cell_1/2.jpg,0.4
./cell_stacks/stack_003_cell_1/3.jpg,0.6
./cell_stacks/stack_003_cell_1/4.jpg,0.8
./cell_stacks/stack_003_cell_1/5.jpg,1.0
./cell_stacks/stack_003_cell_2/0.jpg,0.0
./cell_stacks/stack_003_cell_2/1.jpg,0.2
./cell_stacks/stack_003_cell_2/2.jpg,0.4
./cell_stacks/stack_003_cell_2/3.jpg,0.6
./cell_stacks/stack_003_cell_2/4.jpg,0.8
./cell_stacks/stack_003_cell_2/5.jpg,1.0
./cell_stacks/stack_003_cell_2/6.jpg,1.2
./cell_stacks/stack_003_cell_3/0.jpg,0.0
./cell_stacks/stack_003_cell_3/1.jpg,0.2
./cell_stacks/stack_003_cell_3/2.jpg,0.4
./cell_stacks/stack_003_cell_3/3.jpg,0.6
./cell_stacks/stack_003_cell_3/4.jpg,0.8
./cell_stacks/stack_003_cell_3/5.jpg,1.0
./cell_stacks/stack_003_cell_4/0.jpg,0.0
./cell_stacks/stack_003_cell_4/1.jpg,0.2
